number of points, dim, version, break interval, time
10000, 200, naive, 0, 1181.899658
10000, 200, naive break, 1, 25.772480
10000, 200, naive break, 2, 25.149857
10000, 200, naive break, 3, 25.401472
10000, 200, naive break, 4, 25.673664
10000, 200, naive break, 5, 25.052160
10000, 200, naive break, 6, 25.689760
10000, 200, naive break, 7, 25.180927
10000, 200, naive break, 8, 25.097569
10000, 200, naive break, 9, 25.149857
10000, 200, naive break, 10, 24.848961
10000, 200, naive break, 11, 24.329439
10000, 200, naive break, 12, 24.022207
10000, 200, naive break, 13, 23.976929
10000, 200, naive break, 14, 24.282463
10000, 200, naive break, 15, 24.333248
10000, 200, naive break, 16, 24.376640
10000, 200, naive break, 17, 23.971296
10000, 200, naive break, 18, 23.981216
10000, 200, naive break, 19, 24.424320
10000, 200, naive break, 20, 24.256191
10000, 200, naive break, 21, 24.374304
10000, 200, naive break, 22, 24.000641
10000, 200, naive break, 23, 23.961887
10000, 200, naive break, 24, 24.278112
10000, 200, naive break, 25, 24.299776
10000, 200, naive break, 26, 24.344671
10000, 200, naive break, 27, 24.018688
10000, 200, naive break, 28, 24.037855
10000, 200, naive break, 29, 24.250336
10000, 200, naive break, 30, 24.335232
10000, 200, naive break, 31, 24.330400
10000, 200, naive break, 32, 23.967264
10000, 200, naive break, 33, 23.964832
10000, 200, naive break, 34, 24.260384
10000, 200, naive break, 35, 24.271233
10000, 200, naive break, 36, 24.340223
10000, 200, naive break, 37, 24.023392
10000, 200, naive break, 38, 24.010496
10000, 200, naive break, 39, 24.330944
10000, 200, naive break, 40, 24.370943
10000, 200, naive break, 41, 24.295776
10000, 200, naive break, 42, 23.936001
10000, 200, naive break, 43, 24.639616
10000, 200, naive break, 44, 24.237057
10000, 200, naive break, 45, 24.332289
10000, 200, naive break, 46, 24.380032
10000, 200, naive break, 47, 23.984480
10000, 200, naive break, 48, 24.005152
10000, 200, naive break, 49, 24.217695
10000, 200, naive break, 50, 24.289024
10000, 200, naive, 0, 1182.477295
10000, 200, naive break, 1, 24.055840
10000, 200, naive break, 2, 24.112928
10000, 200, naive break, 3, 24.532801
10000, 200, naive break, 4, 24.407681
10000, 200, naive break, 5, 24.320383
10000, 200, naive break, 6, 24.350271
10000, 200, naive break, 7, 24.329088
10000, 200, naive break, 8, 24.311617
10000, 200, naive break, 9, 24.268385
10000, 200, naive break, 10, 23.981920
10000, 200, naive break, 11, 23.940832
10000, 200, naive break, 12, 24.341408
10000, 200, naive break, 13, 24.329760
10000, 200, naive break, 14, 24.296255
10000, 200, naive break, 15, 24.002081
10000, 200, naive break, 16, 24.026176
10000, 200, naive break, 17, 24.212896
10000, 200, naive break, 18, 24.198208
10000, 200, naive break, 19, 24.325567
10000, 200, naive break, 20, 24.033279
10000, 200, naive break, 21, 24.045408
10000, 200, naive break, 22, 24.272863
10000, 200, naive break, 23, 24.277536
10000, 200, naive break, 24, 24.385569
10000, 200, naive break, 25, 24.031809
10000, 200, naive break, 26, 24.013792
10000, 200, naive break, 27, 24.288671
10000, 200, naive break, 28, 24.323040
10000, 200, naive break, 29, 24.273888
10000, 200, naive break, 30, 23.924448
10000, 200, naive break, 31, 23.950272
10000, 200, naive break, 32, 24.206400
10000, 200, naive break, 33, 24.244703
10000, 200, naive break, 34, 24.376768
10000, 200, naive break, 35, 24.024321
10000, 200, naive break, 36, 23.926432
10000, 200, naive break, 37, 24.257183
10000, 200, naive break, 38, 24.300385
10000, 200, naive break, 39, 24.330976
10000, 200, naive break, 40, 23.942911
10000, 200, naive break, 41, 23.994848
10000, 200, naive break, 42, 24.169184
10000, 200, naive break, 43, 24.325567
10000, 200, naive break, 44, 24.239712
10000, 200, naive break, 45, 24.034719
10000, 200, naive break, 46, 23.975616
10000, 200, naive break, 47, 24.151775
10000, 200, naive break, 48, 24.275808
10000, 200, naive break, 49, 24.362911
