number of points, dim, chunkSize, time
2, 32, 4096, 0.021632
2, 32, 8192, 0.009760
2, 64, 2048, 0.009248
2, 64, 4096, 0.009152
2, 64, 8192, 0.008704
2, 128, 1024, 0.010912
2, 128, 2048, 0.008704
2, 128, 4096, 0.008704
2, 128, 8192, 0.009024
2, 256, 512, 0.009856
2, 256, 1024, 0.008960
2, 256, 2048, 0.008448
2, 256, 4096, 0.008800
2, 256, 8192, 0.008800
2, 512, 256, 0.011712
2, 512, 512, 0.009376
2, 512, 1024, 0.008672
2, 512, 2048, 0.008864
2, 512, 4096, 0.009120
2, 512, 8192, 0.008576
2, 1024, 128, 0.009824
2, 1024, 256, 0.010144
2, 1024, 512, 0.009568
2, 1024, 1024, 0.010912
2, 1024, 2048, 0.009856
2, 1024, 4096, 0.010720
2, 1024, 8192, 0.009856
2, 2048, 64, 0.011200
2, 2048, 128, 0.010496
2, 2048, 256, 0.011008
2, 2048, 512, 0.010848
2, 2048, 1024, 0.011232
2, 2048, 2048, 0.011104
2, 2048, 4096, 0.010528
2, 2048, 8192, 0.010560
2, 4096, 32, 0.012320
2, 4096, 64, 0.012576
2, 4096, 128, 0.012800
2, 4096, 256, 0.012384
2, 4096, 512, 0.012544
2, 4096, 1024, 0.012320
2, 4096, 2048, 0.012064
2, 4096, 4096, 0.012608
2, 4096, 8192, 0.012928
2, 8192, 32, 0.016096
2, 8192, 64, 0.015680
2, 8192, 128, 0.016640
2, 8192, 256, 0.015872
2, 8192, 512, 0.015456
2, 8192, 1024, 0.015904
2, 8192, 2048, 0.015712
2, 8192, 4096, 0.015360
2, 8192, 8192, 0.015072
2, 16384, 32, 0.022848
2, 16384, 64, 0.022144
2, 16384, 128, 0.022112
2, 16384, 256, 0.021824
2, 16384, 512, 0.022144
2, 16384, 1024, 0.021600
2, 16384, 2048, 0.021824
2, 16384, 4096, 0.021984
2, 16384, 8192, 0.022240
2, 32768, 32, 0.035040
2, 32768, 64, 0.041472
2, 32768, 128, 0.037248
2, 32768, 256, 0.035616
2, 32768, 512, 0.040256
2, 32768, 1024, 0.036640
2, 32768, 2048, 0.038272
2, 32768, 4096, 0.036000
2, 32768, 8192, 0.039520
4, 32, 4096, 0.014432
4, 32, 8192, 0.014176
4, 64, 2048, 0.010848
4, 64, 4096, 0.010208
4, 64, 8192, 0.010208
4, 128, 1024, 0.009664
4, 128, 2048, 0.009248
4, 128, 4096, 0.009248
4, 128, 8192, 0.008896
4, 256, 512, 0.010656
4, 256, 1024, 0.009440
4, 256, 2048, 0.009056
4, 256, 4096, 0.008864
4, 256, 8192, 0.009024
4, 512, 256, 0.009408
4, 512, 512, 0.009312
4, 512, 1024, 0.009472
4, 512, 2048, 0.010112
4, 512, 4096, 0.009536
4, 512, 8192, 0.009632
4, 1024, 128, 0.010464
4, 1024, 256, 0.010496
4, 1024, 512, 0.010592
4, 1024, 1024, 0.010112
4, 1024, 2048, 0.010304
4, 1024, 4096, 0.010432
4, 1024, 8192, 0.010848
4, 2048, 64, 0.010816
4, 2048, 128, 0.011040
4, 2048, 256, 0.011296
4, 2048, 512, 0.010912
4, 2048, 1024, 0.011168
4, 2048, 2048, 0.011168
4, 2048, 4096, 0.011104
4, 2048, 8192, 0.010816
4, 4096, 32, 0.012608
4, 4096, 64, 0.012640
4, 4096, 128, 0.012000
4, 4096, 256, 0.012704
4, 4096, 512, 0.012576
4, 4096, 1024, 0.016416
4, 4096, 2048, 0.013088
4, 4096, 4096, 0.012672
4, 4096, 8192, 0.020928
4, 8192, 32, 0.017248
4, 8192, 64, 0.016128
4, 8192, 128, 0.015776
4, 8192, 256, 0.015904
4, 8192, 512, 0.016224
4, 8192, 1024, 0.016320
4, 8192, 2048, 0.016288
4, 8192, 4096, 0.015232
4, 8192, 8192, 0.015840
4, 16384, 32, 0.022816
4, 16384, 64, 0.021888
4, 16384, 128, 0.022240
4, 16384, 256, 0.022048
4, 16384, 512, 0.022336
4, 16384, 1024, 0.022336
4, 16384, 2048, 0.022112
4, 16384, 4096, 0.022304
4, 16384, 8192, 0.022624
4, 32768, 32, 0.035200
4, 32768, 64, 0.035872
4, 32768, 128, 0.036032
4, 32768, 256, 0.035392
4, 32768, 512, 0.035872
4, 32768, 1024, 0.035680
4, 32768, 2048, 0.039200
4, 32768, 4096, 0.036160
4, 32768, 8192, 0.040704
8, 32, 4096, 0.035072
8, 32, 8192, 0.033760
8, 64, 2048, 0.015584
8, 64, 4096, 0.016160
8, 64, 8192, 0.015776
8, 128, 1024, 0.011264
8, 128, 2048, 0.010016
8, 128, 4096, 0.010688
8, 128, 8192, 0.010496
8, 256, 512, 0.010944
8, 256, 1024, 0.009408
8, 256, 2048, 0.009504
8, 256, 4096, 0.009184
8, 256, 8192, 0.008864
8, 512, 256, 0.009120
8, 512, 512, 0.009472
8, 512, 1024, 0.009952
8, 512, 2048, 0.009088
8, 512, 4096, 0.008800
8, 512, 8192, 0.009984
8, 1024, 128, 0.010688
8, 1024, 256, 0.010880
8, 1024, 512, 0.010432
8, 1024, 1024, 0.010336
8, 1024, 2048, 0.010048
8, 1024, 4096, 0.010816
8, 1024, 8192, 0.010176
8, 2048, 64, 0.011168
8, 2048, 128, 0.011648
8, 2048, 256, 0.011360
8, 2048, 512, 0.010976
8, 2048, 1024, 0.011232
